04-07 08:58:29.746   717  4812 D BufferPoolAccessor2.0: bufferpool2 0x7713a6418f98 : 4(16384 size) total buffers - 1(4096 size) used buffers - 454/458 (recycle/alloc) - 5/457 (fetch/transfer)
04-07 08:58:29.756  4412  4412 D VideoPlayerUi: hideControls() called with: duration = [300], delay = [2000]
04-07 08:58:29.763  4412  4703 D YandexTranslation: Starting translation for: https://youtu.be/iBNMQNIISUg (Sub Surface Skin Tutorial)
04-07 08:58:29.763  4412  4703 D YandexTranslation: Creating new Vtrans session...
04-07 08:58:30.110  4412  4412 D SPONSOR_BLOCK: Hiding manual skip buttons (UNSKIP)
04-07 08:58:30.111  4412  4703 D YandexTranslation: Session created: uuid=258F339748826CEAC16942B3EE700A2E, expires=3600
04-07 08:58:30.201  4412  4703 D YandexTranslation: Translation response: HTTP 200
04-07 08:58:30.202  4412  4703 D YandexTranslation: Response: status=6, url=null, remaining=58, error=null
04-07 08:58:30.204  4412  4703 D YandexTranslation: Status 6 (AUDIO_REQUESTED) - executing fallback...
04-07 08:58:30.257  4412  4703 D YandexTranslation: fail-audio-js: HTTP 200
04-07 08:58:30.368  4412  4703 D YandexTranslation: audio-empty: HTTP 405
04-07 08:58:30.700  4832  4832 W libbinder.BackendUnifiedServiceManager: Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: package
04-07 08:58:30.858  9409 23663 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~scVi5FQG4d-fWzcBuZxYFA==/com.google.android.gms-STD1RVi9lhtf68y-PXK2hA==/oat/x86_64/base.odex) is kOatUpToDate with filter 'speed-profile' executable 'false'
04-07 08:58:30.862  9409 23663 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~scVi5FQG4d-fWzcBuZxYFA==/com.google.android.gms-STD1RVi9lhtf68y-PXK2hA==/oat/x86_64/split_AdsDynamite_installtime.odex) is kOatUpToDate with filter 'speed' executable 'false'
04-07 08:58:30.864  9409 23663 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~scVi5FQG4d-fWzcBuZxYFA==/com.google.android.gms-STD1RVi9lhtf68y-PXK2hA==/oat/x86_64/split_CronetDynamite_installtime.odex) is kOatUpToDate with filter 'speed' executable 'false'
04-07 08:58:30.866  9409 23663 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~scVi5FQG4d-fWzcBuZxYFA==/com.google.android.gms-STD1RVi9lhtf68y-PXK2hA==/oat/x86_64/split_DynamiteLoader_installtime.odex) is kOatUpToDate with filter 'speed' executable 'false'
--
04-07 08:58:35.132   806   834 I DisplayDeviceRepository: Display device changed render timings: "Built-in Screen", renderFrameRate=60.000004, presentationDeadlineNanos=16666666, appVsyncOffsetNanos=1000000, frameRateOverrides=[{uid=10240 frameRateHz=60.000004}]
04-07 08:58:35.256  4412  4807 D BufferPoolAccessor2.0: bufferpool2 0x7a1208273e58 : 5(40960 size) total buffers - 1(8192 size) used buffers - 694/700 (recycle/alloc) - 6/699 (fetch/transfer)
